Zaman damgası,Pozisyon,Seviye,Deneyim,Teknoloji,Lokasyon (Firma),Çalışma Şekli,Şirket Çalışan Sayısı,Maaş Cinsi,Maaş / Aylık (NET)
23.01.2023 11:55:54,Frontend Developer,Junior,0-1 Yıl,"Javascript, PHP / Laravel",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
23.01.2023 12:47:44,Frontend Developer,Tanımsız,0-1 Yıl,C / C++,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
23.01.2023 13:52:18,Backend Developer,Junior,0-1 Yıl,"Javascript, C# / .NET Framework, Unity",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
23.01.2023 17:10:39,Frontend Developer,Junior,0-1 Yıl,Javascript,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
24.01.2023 22:57:48,Fullstack Developer,Junior,0-1 Yıl,"Javascript, PHP / Laravel",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
23.01.2023 00:11:21,Fullstack Developer,Mid,7-9 Yıl,"Javascript, PHP / Laravel, Flutter, C / C++",Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 15:32:16,Frontend Developer,Senior,7-9 Yıl,"Angular, Javascript, Unity",Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 23:11:25,Yönetici / Müdür,Tanımsız,7-9 Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 11:12:37,UI/UX Designer,Senior,7-9 Yıl,Figma,Türkiye,Remote,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 21:39:08,Backend Developer,Senior,7-9 Yıl,"Javascript, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 16:33:58,Fullstack Developer,Senior,7-9 Yıl,"Angular, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 19:59:25,Backend Developer,Senior,7-9 Yıl,Python ,Türkiye,Remote,10-30,Türk Lirası,36.000 - 40.000 TL
22.01.2023 20:41:09,Backend Developer,Senior,7-9 Yıl,PHP / Laravel,Türkiye,Remote,10-30,Türk Lirası,46.000 - 50.000 TL
22.01.2023 19:36:34,Backend Developer,Senior,7-9 Yıl,"NodeJS, Javascript, C# / .NET Framework, C / C++",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 10:48:27,Fullstack Developer,Senior,7-9 Yıl,"Javascript, PHP / Laravel",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 11:25:52,Yönetici / Müdür,Senior,7-9 Yıl,"python, tensorflow, keras",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,71.000 - 80.000 TL
22.01.2023 21:12:39,Backend Developer,Mid,4-6 Yıl,"Javascript, C# / .NET Framework",Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 22:27:58,Fullstack Developer,Mid,4-6 Yıl,"Angular, C# / .NET Framework",Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 11:26:37,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 12:23:44,Fullstack Developer,Mid,4-6 Yıl,"Angular, Javascript, C# / .NET Framework",Türkiye,Hybrid,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 17:20:53,Fullstack Developer,Tanımsız,4-6 Yıl,"React / NextJS, Angular, NodeJS, Javascript, C / C++, Python, Go",Türkiye,Hybrid,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 09:04:15,Backend Developer,Mid,4-6 Yıl,"Vue, C# / .NET Framework",Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 11:33:01,Frontend Developer,Mid,4-6 Yıl,"React / NextJS, Javascript, React Native",Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 22:12:01,Yönetici / Müdür,Senior,4-6 Yıl,Angular,Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
22.01.2023 19:32:10,Fullstack Developer,Senior,4-6 Yıl,"Javascript, Java / Spring, C# / .NET Framework, Kotlin, Flutter",Türkiye,Hybrid,10-30,Türk Lirası,41.000 - 45.000 TL
23.01.2023 14:04:00,Frontend Developer,Senior,4-6 Yıl,Angular,Türkiye,Hybrid,10-30,Türk Lirası,41.000 - 45.000 TL
23.01.2023 10:52:17,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 22:40:19,Backend Developer,Mid,4-6 Yıl,"NodeJS, Javascript",Türkiye,Remote,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 20:09:14,Fullstack Developer,Mid,4-6 Yıl,"Vue, Javascript, PHP / Laravel",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 23:17:42,Fullstack Developer,Senior,4-6 Yıl,"NodeJS, Javascript, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 23:42:49,Frontend Developer,Tanımsız,4-6 Yıl,Angular,Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 10:41:49,Game Developer / Oyun Geliştirici,Mid,4-6 Yıl,Unity,Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 17:16:42,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 19:21:06,Fullstack Developer,Mid,4-6 Yıl,PHP / Laravel,Türkiye,Remote,10-30,Dolar,26.000 - 30.000 TL
22.01.2023 20:20:00,Frontend Developer,Mid,4-6 Yıl,React / NextJS,Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 00:30:06,Backend Developer,Tanımsız,4-6 Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 00:40:49,Fullstack Developer,Mid,4-6 Yıl,"Angular, NodeJS, Javascript, C# / .NET Framework, React Native",Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 12:09:28,Fullstack Developer,Mid,4-6 Yıl,"Vue, C# / .NET Framework, Flutter",Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
22.01.2023 19:19:07,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,31.000 - 35.000 TL
22.01.2023 22:44:25,Frontend Developer,Mid,4-6 Yıl,React / NextJS,Türkiye,Remote,10-30,Türk Lirası,31.000 - 35.000 TL
23.01.2023 14:20:01,Fullstack Developer,Senior,4-6 Yıl,"Javascript, PHP / Laravel",Türkiye,Remote,10-30,Türk Lirası,31.000 - 35.000 TL
23.01.2023 15:37:05,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, Javascript, C# / .NET Framework, PHP / Laravel, React Native",Türkiye,Remote,10-30,Türk Lirası,31.000 - 35.000 TL
22.01.2023 21:42:12,Backend Developer,Senior,4-6 Yıl,Python,Türkiye,Remote,10-30,Türk Lirası,41.000 - 45.000 TL
23.01.2023 00:38:25,Backend Developer,Mid,4-6 Yıl,"NodeJS, Javascript",Türkiye,Remote,10-30,Dolar,41.000 - 45.000 TL
22.01.2023 23:14:07,Backend Developer,Senior,4-6 Yıl,PHP / Laravel,Türkiye,Remote,10-30,Türk Lirası,46.000 - 50.000 TL
24.01.2023 00:34:31,Fullstack Developer,Mid,4-6 Yıl,"Angular, Java / Spring",Türkiye,Remote,10-30,Türk Lirası,46.000 - 50.000 TL
22.01.2023 19:41:49,Test otomasyon,Senior,4-6 Yıl,Java / Spring,Türkiye,Remote,10-30,Dolar,66.000 - 70.000 TL
22.01.2023 22:28:20,Backend Developer,Mid,4-6 Yıl,PHP / Laravel,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 21:07:44,Fullstack Developer,Mid,4-6 Yıl,"PHP / Laravel, Swift, Flutter, Unity",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 20:11:54,Yönetici / Müdür,Tanımsız,4-6 Yıl,C / C++,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 21:13:44,Fullstack Developer,Senior,4-6 Yıl,"React / NextJS, Javascript, C# / .NET Framework",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 20:24:46,Frontend Developer,Senior,4-6 Yıl,"React / NextJS, Vue, NodeJS, Javascript, PHP / Laravel",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,26.000 - 30.000 TL
22.01.2023 23:55:14,Data scientist ,Mid,4-6 Yıl,Python,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,31.000 - 35.000 TL
23.01.2023 07:01:07,Mobile Developer,Mid,4-6 Yıl,Java / Spring,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,31.000 - 35.000 TL
22.01.2023 19:48:27,Frontend Developer,Mid,4-6 Yıl,"React / NextJS, Vue, Javascript",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 19:27:56,Fullstack Developer,Senior,10+ Yıl,"Angular, NodeJS, Javascript",Türkiye,Hybrid,10-30,Türk Lirası,21.000 - 25.000 TL
24.01.2023 00:02:28,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 20:06:49,Frontend Developer,Senior,10+ Yıl,"React / NextJS, Vue, NodeJS, Javascript, C# / .NET Framework",Türkiye,Hybrid,10-30,Euro,36.000 - 40.000 TL
23.01.2023 21:26:21,Backend Developer,Senior,10+ Yıl,Java / Spring,Türkiye,Hybrid,10-30,Türk Lirası,41.000 - 45.000 TL
22.01.2023 23:19:53,Architect / Mimar,Senior,10+ Yıl,"C# / .NET Framework, PHP / Laravel, C / C++, Unity, Unreal",Türkiye,Hybrid,10-30,Türk Lirası,51.000 - 55.000 TL
23.01.2023 12:15:07,Architect / Mimar,Senior,10+ Yıl,3D MAX & AUTOCAD,Türkiye,Hybrid,10-30,Türk Lirası,81.000 - 90.000 TL
22.01.2023 22:03:53,Frontend Developer,Senior,10+ Yıl,"React / NextJS, Vue",Türkiye,Remote,10-30,Dolar,200.000+ TL
22.01.2023 19:20:28,Fullstack Developer,Senior,10+ Yıl,"Vue, Javascript, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 20:16:22,Fullstack Developer,Senior,10+ Yıl,"React / NextJS, NodeJS, Javascript, C# / .NET Framework, PHP / Laravel, React Native",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 04:46:26,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 10:39:17,Backend Developer,Senior,10+ Yıl,"React / NextJS, NodeJS, Javascript, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,31.000 - 35.000 TL
22.01.2023 23:52:55,Fullstack Developer,Senior,10+ Yıl,"Javascript, Java / Spring, C# / .NET Framework, C, Cobol",Türkiye,Remote,10-30,Türk Lirası,41.000 - 45.000 TL
23.01.2023 00:20:00,Yönetici / Müdür,Tanımsız,10+ Yıl,Java / Spring,Türkiye,Remote,10-30,Türk Lirası,81.000 - 90.000 TL
23.01.2023 02:00:54,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,41.000 - 45.000 TL
22.01.2023 18:53:39,Yönetici / Müdür,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,56.000 - 60.000 TL
22.01.2023 20:46:52,Fullstack Developer,Mid,1-3 Yıl,"Angular, C# / .NET Framework",Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 21:25:18,Mobile Developer,Junior,1-3 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 22:14:44,Fullstack Developer,Junior,1-3 Yıl,"React / NextJS, Angular, Java / Spring",Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 22:15:08,Fullstack Developer,Junior,1-3 Yıl,Java / Spring,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 23:11:37,Frontend Developer,Mid,1-3 Yıl,"Vue, NodeJS, Javascript",Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 10:14:53,UI/UX Designer,Mid,1-3 Yıl,Figma,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 11:46:24,Frontend Developer,Mid,1-3 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 12:27:04,Backend Developer,Mid,1-3 Yıl,PHP / Laravel,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 13:11:50,Dwh bi developer,Junior,1-3 Yıl,Sql ssis powerbi Datastage cognos,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 13:55:30,Game Developer / Oyun Geliştirici,Mid,1-3 Yıl,"C# / .NET Framework, C / C++, Unity, Unreal",Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 15:14:51,I.T Recruiter ,Mid,1-3 Yıl,Kariyer portalları,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 19:11:28,Backend Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 22:44:27,Frontend Developer,Mid,1-3 Yıl,"Javascript, Figma, Wordpress",Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 02:33:15,Backend Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 03:02:33,Mobile Developer,Junior,1-3 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 18:58:16,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript, Java / Spring",Türkiye,Hybrid,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 20:45:09,Game Developer / Oyun Geliştirici,Junior,1-3 Yıl,"C# / .NET Framework, Unity",Türkiye,Hybrid,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 23:59:05,Game Developer / Oyun Geliştirici,Mid,1-3 Yıl,"C# / .NET Framework, Unity",Türkiye,Hybrid,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 16:54:48,Backend Developer,Mid,1-3 Yıl,Go,Türkiye,Hybrid,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 21:18:20,Fullstack Developer,Mid,1-3 Yıl,"Vue, NodeJS, Javascript, React Native",Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 09:33:55,Mobile Developer,Senior,1-3 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 10:59:33,Frontend Developer,Mid,1-3 Yıl,Javascript,Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
24.01.2023 09:33:23,Analist,Mid,1-3 Yıl,"React / NextJS, Angular, NodeJS, Java / Spring",Türkiye,Hybrid,10-30,Türk Lirası,31.000 - 35.000 TL
23.01.2023 00:34:26,Mobile Developer,Mid,1-3 Yıl,Kotlin,Türkiye,Hybrid,10-30,Türk Lirası,41.000 - 45.000 TL
23.01.2023 00:57:22,Frontend Developer,Junior,1-3 Yıl,"Angular, NodeJS",Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
23.01.2023 12:55:07,Fullstack Developer,Junior,1-3 Yıl,Java / Spring,Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 20:34:21,Fullstack Developer,Mid,1-3 Yıl,"Vue, Javascript, PHP / Laravel",Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 20:47:57,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, Vue, NodeJS, Javascript",Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 21:58:10,Fullstack Developer,Mid,1-3 Yıl,"Angular, Java / Spring",Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 23:28:15,Backend Developer,Junior,1-3 Yıl,PHP / Laravel,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 00:24:27,Fullstack Developer,Junior,1-3 Yıl,React / NextJS,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 03:43:38,Frontend Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript, React Native, Figma",Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 08:29:04,Backend Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 10:12:41,Fullstack Developer,Junior,1-3 Yıl,Javascript,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 11:05:25,Frontend Developer,Junior,1-3 Yıl,React / NextJS,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 11:30:03,Fullstack Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 11:45:50,Mobile Developer,Junior,1-3 Yıl,Flutter,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 12:14:28,Frontend Developer,Junior,1-3 Yıl,"React / NextJS, NodeJS, Javascript, React Native",Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 16:43:16,Backend Developer,Junior,1-3 Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 19:22:37,DevOps Engineer,Mid,1-3 Yıl,Google cloud,Türkiye,Remote,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 23:18:14,Frontend Developer,Mid,1-3 Yıl,React / NextJS,Türkiye,Remote,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 23:39:07,Fullstack Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 14:55:39,Fullstack Developer,Mid,1-3 Yıl,"Vue, Javascript, PHP / Laravel",Türkiye,Remote,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 19:08:32,Frontend Developer,Junior,1-3 Yıl,Vue,Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 19:44:29,Backend Developer,Mid,1-3 Yıl,"NodeJS, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 20:40:39,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, Vue, NodeJS, Javascript",Türkiye,Remote,10-30,Dolar,21.000 - 25.000 TL
22.01.2023 21:18:59,Fullstack Developer,Mid,1-3 Yıl,"Angular, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 22:24:24,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 00:27:29,Frontend Developer,Junior,1-3 Yıl,"React / NextJS, Javascript, Figma",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 12:31:28,Frontend Developer,Junior,1-3 Yıl,"React / NextJS, Javascript",Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
22.01.2023 22:49:17,Frontend Developer,Mid,1-3 Yıl,React / NextJS,Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
22.01.2023 23:14:04,Data engineer,Junior,1-3 Yıl,"Python, AWS, SQL",Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 10:14:52,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, Javascript, Java / Spring",Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 10:22:10,Backend Developer,Mid,1-3 Yıl,Python,Türkiye,Remote,10-30,Türk Lirası,31.000 - 35.000 TL
22.01.2023 19:05:25,Mobile Developer,Junior,1-3 Yıl,Flutter,Türkiye,Remote,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 22:11:36,Backend Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 22:18:22,Fullstack Developer,Junior,1-3 Yıl,"Angular, Java / Spring",Türkiye,Remote,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 22:26:21,Backend Developer,Junior,1-3 Yıl,PHP / Laravel,Türkiye,Remote,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 23:50:32,Frontend Developer,Mid,1-3 Yıl,"Javascript, Figma",Türkiye,Remote,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 23:18:55,Game Developer / Oyun Geliştirici,Junior,1-3 Yıl,"C# / .NET Framework, Unity",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 00:33:10,Fullstack Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 01:42:10,Mobile Developer,Junior,1-3 Yıl,"C# / .NET Framework, Flutter",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
24.01.2023 17:49:38,WordPress dev. ,Mid,1-3 Yıl,Css + Php,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 19:06:38,Fullstack Developer,Junior,1-3 Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 21:35:03,Mobile Developer,Junior,1-3 Yıl,Flutter,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 22:03:08,Embedded Software,Mid,1-3 Yıl,"C / C++, Labview",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 23:43:08,Frontend Developer,Junior,1-3 Yıl,React / NextJS,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 23:48:56,Backend Developer,Junior,1-3 Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 14:16:54,Backend Developer,Mid,1-3 Yıl,"Angular, C# / .NET Framework, Golang",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 12:33:56,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript, React Native",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,21.000 - 25.000 TL
23.01.2023 00:54:31,Fullstack Developer,Mid,1-3 Yıl,"Javascript, PHP / Laravel, React Native",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,26.000 - 30.000 TL
23.01.2023 15:45:23,Backend Developer,Mid,1-3 Yıl,"Javascript, C# / .NET Framework",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,26.000 - 30.000 TL
22.01.2023 19:31:54,Mobile Developer,Mid,1-3 Yıl,Flutter,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,31.000 - 35.000 TL
23.01.2023 11:56:27,Fullstack Developer,Junior,1-3 Yıl,PHP / Laravel,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,5000 - 10.000 TL
23.01.2023 17:19:35,Fullstack Developer,Mid,1-3 Yıl,"Javascript, PHP / Laravel",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,5000 - 10.000 TL
23.01.2023 00:54:39,Mobile Developer,Junior,0-1 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 08:28:35,Analist,Junior,0-1 Yıl,postgresql,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 16:39:36,Frontend Developer,Junior,0-1 Yıl,"React / NextJS, Javascript, PHP / Laravel",Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
22.01.2023 20:20:39,Fullstack Developer,Junior,0-1 Yıl,"React / NextJS, C# / .NET Framework",Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 22:03:05,Game Developer / Oyun Geliştirici,Mid,0-1 Yıl,Unity,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 22:42:47,Backend Developer,Junior,0-1 Yıl,C# / .NET Framework,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
23.01.2023 13:56:59,Data Analyst,Junior,0-1 Yıl,Python,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
22.01.2023 19:14:59,Fullstack Developer,Junior,0-1 Yıl,"Vue, NodeJS, Javascript, PHP / Laravel",Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 19:49:15,Fullstack Developer,Junior,0-1 Yıl,"Angular, Java / Spring",Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 21:44:45,Backend Developer,Junior,0-1 Yıl,NodeJS,Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 22:35:37,Fullstack Developer,Junior,0-1 Yıl,"C# / .NET Framework, Figma",Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 22:46:35,Computer vision researcher,Junior,0-1 Yıl,Python,Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 22:55:21,Fullstack Developer,Junior,0-1 Yıl,C# / .NET Framework,Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
23.01.2023 00:08:31,Frontend Developer,Junior,0-1 Yıl,"React / NextJS, NodeJS, Javascript",Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
23.01.2023 02:13:36,Monitoring,Junior,0-1 Yıl,"Yazılım ekibi python kullanıyor, ekibin monitoringini yapıyorum",Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
24.01.2023 16:22:59,Frontend Developer,Junior,0-1 Yıl,Javascript,Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
22.01.2023 20:14:42,Backend Developer,Junior,0-1 Yıl,"Javascript, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
23.01.2023 00:01:03,Backend Developer,Junior,0-1 Yıl,Java / Spring,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
